baseline,horizon_h,variable,mae,se,err
persistence,6,shortwave_radiation,266.0,70756.0,-266.0
persistence,6,direct_normal_irradiance,533.6999999999999,284835.68999999994,-533.6999999999999
persistence,6,diffuse_radiation,180.0,32400.0,180.0
persistence,6,temperature_2m,2.5,6.25,-2.5
persistence,6,relative_humidity_2m,19.0,361.0,19.0
persistence,6,cloud_cover,46.0,2116.0,46.0
persistence,6,wind_speed_100m,1.5,2.25,-1.5
persistence,6,wind_speed_10m,1.6000000000000005,2.560000000000002,-1.6000000000000005
persistence,6,surface_pressure,0.7000000000000455,0.49000000000006366,-0.7000000000000455
persistence,6,precipitation,4.8,23.04,4.8
persistence,12,shortwave_radiation,2.0,4.0,-2.0
persistence,12,direct_normal_irradiance,9.0,81.0,-9.0
persistence,12,diffuse_radiation,2.0,4.0,2.0
persistence,12,temperature_2m,0.8000000000000007,0.6400000000000011,-0.8000000000000007
