contendiente,horizonte_h,variable,mae,rmse,bias,n
climatology,12,temperature_2m,1.0973645833333334,1.397205780497474,0.11698958333333317,320
climatology,12,wind_speed_100m,2.97021875,3.7744474439240037,0.50278125,320
climatology,12,wind_speed_10m,1.7610833333333331,2.249494912443927,0.3217083333333334,320
climatology,24,cloud_cover,21.544270833333336,25.61493169412022,-2.1321874999999997,320
climatology,24,diffuse_radiation,41.26020833333333,56.19251649216488,-1.8402083333333334,160
climatology,24,direct_normal_irradiance,181.7933125,220.17993323848287,30.689812499999988,160
climatology,24,precipitation,0.17216666666666666,0.37421046514257483,-0.024208333333333328,320
climatology,24,relative_humidity_2m,9.521979166666666,12.31396212412741,-2.8834375000000003,320
climatology,24,shortwave_radiation,85.13187500000001,112.26011087227536,15.037708333333333,160
climatology,24,surface_pressure,0.7336458333333319,0.9297410780546558,0.11106249999999633,320
climatology,24,temperature_2m,1.0958020833333335,1.3860191672355924,0.14832291666666647,320
climatology,24,wind_speed_100m,3.004447916666667,3.810716745975166,0.5515520833333334,320
climatology,24,wind_speed_10m,1.77315625,2.2660925054056276,0.35015625000000006,320
climatology,48,cloud_cover,21.7196875,25.696541123163723,-1.5040624999999996,320
climatology,48,diffuse_radiation,42.521875,57.73091092637365,0.6660416666666665,160
climatology,48,direct_normal_irradiance,183.85302083333335,221.32135991600416,25.907937499999985,160
climatology,48,precipitation,0.17560416666666667,0.3860161553901886,-0.027958333333333328,320
climatology,48,relative_humidity_2m,9.874479166666667,12.738668030624098,-3.1240625,320
climatology,48,shortwave_radiation,84.75604166666668,110.29626765998124,15.093958333333333,160
climatology,48,surface_pressure,0.7423333333333236,0.9374298492272463,0.08356249999999613,320
climatology,48,temperature_2m,1.1170520833333335,1.4073079970678455,0.18613541666666644,320
climatology,48,wind_speed_100m,3.02653125,3.8176118234731806,0.6318645833333333,320
climatology,48,wind_speed_10m,1.7810937499999997,2.2681463231139993,0.37359375000000006,320
climatology,72,cloud_cover,21.798229166666665,25.676041375072682,-1.6478125,320
climatology,72,diffuse_radiation,41.94104166666666,57.051823602658736,1.5285416666666665,160
climatology,72,direct_normal_irradiance,182.9111875,219.8096292743703,31.793562499999986,160
climatology,72,precipitation,0.1646875,0.35233467360199194,-0.04827083333333333,320
climatology,72,relative_humidity_2m,9.989479166666667,12.757429072026142,-3.8271875,320
climatology,72,shortwave_radiation,83.72104166666666,108.31861755821214,19.412708333333335,160
climatology,72,surface_pressure,0.7418124999999929,0.920633688764912,0.05543749999999612,320
climatology,72,temperature_2m,1.0960937499999999,1.3836542674904175,0.2473854166666664,320
climatology,72,wind_speed_100m,3.0546770833333334,3.8792210388241037,0.7384270833333333,320
climatology,72,wind_speed_10m,1.78078125,2.293594393753079,0.41953125,320
ecmwf_crudo,1,cloud_cover,14.690625,21.256837135378348,-7.853125,320
ecmwf_crudo,1,relative_humidity_2m,11.8375,13.760223472022538,-7.21875,320
ecmwf_crudo,1,shortwave_radiation,40.745222929936304,68.79661708465754,21.45859872611465,157
ecmwf_crudo,1,surface_pressure,1.9318749999999985,2.0408178507647365,-1.9318749999999985,320
ecmwf_crudo,1,temperature_2m,1.169375,1.5481238645534794,0.4074999999999999,320
ecmwf_crudo,1,wind_speed_10m,9.4965625,10.241589537273988,-9.4134375,320
ecmwf_crudo,6,cloud_cover,13.39375,19.556808277426047,-8.05,320
ecmwf_crudo,6,relative_humidity_2m,12.496875,14.338213800888868,-8.165625,320
ecmwf_crudo,6,shortwave_radiation,46.225,66.1460505245778,21.325,160
ecmwf_crudo,6,surface_pressure,1.614999999999997,1.7185568073240967,-1.614999999999997,320
ecmwf_crudo,6,temperature_2m,1.169375,1.5430084251228184,0.5925,320
ecmwf_crudo,6,wind_speed_10m,8.7828125,9.578411598485419,-8.744687500000001,320
ecmwf_crudo,12,cloud_cover,13.40625,19.458770516145155,-8.0625,320
ecmwf_crudo,12,relative_humidity_2m,12.525,14.35705401536123,-8.19375,320
ecmwf_crudo,12,shortwave_radiation,46.225,66.1460505245778,21.325,160
ecmwf_crudo,12,surface_pressure,1.6140624999999975,1.7184749779964779,-1.6140624999999975,320
ecmwf_crudo,12,temperature_2m,1.1709375,1.543686739594533,0.5978125000000001,320
ecmwf_crudo,12,wind_speed_10m,8.786562499999999,9.586971954167803,-8.7484375,320
ecmwf_crudo,24,cloud_cover,13.60625,19.615523189555766,-8.45,320
ecmwf_crudo,24,relative_humidity_2m,12.5625,14.329602227556773,-8.4875,320
ecmwf_crudo,24,shortwave_radiation,47.03125,66.8163060188155,22.76875,160
ecmwf_crudo,24,surface_pressure,1.5996874999999988,1.702947811883852,-1.5996874999999988,320
ecmwf_crudo,24,temperature_2m,1.1815625,1.5480935856723907,0.6346875000000001,320
ecmwf_crudo,24,wind_speed_10m,8.84375,9.625233763395048,-8.808125,320
ecmwf_crudo,48,cloud_cover,13.41875,19.34069543734144,-8.1375,320
ecmwf_crudo,48,relative_humidity_2m,12.68125,14.4083309234623,-8.55625,320
ecmwf_crudo,48,shortwave_radiation,47.28125,66.58204525245526,23.54375,160
