modo,estrategia,fecha,pv_kwh,costo_total,costo_norm,diesel_L,diesel_h,ens_kwh,ens_h,deficit_kwh,deficit_max_kw,soc_start_kwh,soc_min_kwh,soc_final_kwh,import_kwh,export_kwh,curtailed_kwh,viol
grid10,mpc-pi,2026-08-05,114.5457078177002,57709.87447904512,59155.76268957143,471.5078218409999,15,0.000355348012059,3,0.0003553480120661,0.0001582968981406,175.4715789473684,124.38105263157895,157.39797631578952,90.00115494975283,0.0020621727731366,0.0,0
grid10,mpc-pi,2026-08-06,134.58682847205665,59107.39524412457,57950.05061254563,495.413543541,16,0.002106792875546,6,0.0021067928755691,0.0004876820424843,157.39797631578952,126.01692368421058,171.86478421052632,80.00200430036553,10.001882987722496,11.054900634883325,0
isla,smpc,2026-07-24,198.01842405805309,853494.3683633491,854012.7614159806,510.438404509,14,159.90560158248982,9,159.90560158248982,29.02882420072721,130.0,123.52008684210529,123.52008684210529,0.0,0.0,203.04786969785096,0
isla,smpc,2026-07-25,207.10425167565415,675170.0158608173,675170.0129134489,538.438404509,15,123.62616308198344,8,123.62616308198344,27.110406015684102,123.52008684210529,123.52008684210529,123.52012368421052,0.0,0.0,219.03325881494567,0
isla,smpc,2026-07-26,179.77616604562493,674546.9844912235,674546.981543855,538.438404509,15,123.50155680806466,8,123.50155680806466,27.138221837095,123.52012368421052,123.52012368421052,123.52016052631578,0.0,0.0,191.58056691099767,0
isla,smpc,2026-07-27,178.7858418577156,676284.5654149558,676284.5624675874,538.438404509,15,123.84907299281116,8,123.84907299281116,27.05927507034305,123.52016052631578,123.52016052631578,123.52019736842108,0.0,0.0,190.93775890783485,0
isla,smpc,2026-07-28,204.27943056075685,675254.1342374573,675254.1312900889,538.438404509,15,123.64298675731148,8,123.64298675731148,27.172976274032084,123.52019736842108,123.52019736842108,123.52023421052634,0.0,0.0,216.2252613753764,0
isla,smpc,2026-07-29,180.47724219655015,675003.8305004034,675003.827553035,538.438404509,15,123.5929260099007,8,123.5929260099007,27.127518044687864,123.52023421052634,123.52023421052634,123.5202710526316,0.0,0.0,192.3730122637589,0
isla,smpc,2026-07-30,194.2763031773748,810978.2283014595,812017.9813540911,442.5631688959999,14,152.81475828237188,9,152.81475828237188,29.15199869262805,123.5202710526316,110.52335789473683,110.52335789473683,0.0,0.0,89.27790551705476,0
isla,smpc,2026-07-31,192.6368020766043,810293.220271216,810255.1413238476,443.324260013,14,152.5490788539832,9,152.5490788539832,28.94298169886129,110.52335789473683,110.52335789473683,110.9993447368421,0.0,0.0,74.44172498789554,0
isla,smpc,2026-08-01,203.5248635202317,806941.3045485633,806852.0776011948,440.2831813629999,14,151.93413328245268,9,151.93413328245268,29.06986454335872,110.9993447368421,110.9993447368421,112.11468157894735,0.0,0.0,79.04784085999248,0
isla,smpc,2026-08-02,210.5356350872605,811156.697532271,811015.4105849026,440.335877165,14,152.77067796315424,9,152.77067796315424,28.9839727812555,112.11468157894735,112.11468157894735,113.8807684210526,0.0,0.0,86.31415710772279,0
isla,smpc,2026-08-03,162.88303947567306,814970.4408059479,815120.1578585794,441.768259011,14,153.53541098096957,10,153.53541098096957,28.92285042454345,113.8807684210526,112.00930526315786,112.00930526315788,0.0,0.0,45.62329451395071,0
isla,smpc,2026-08-04,205.22886252549716,810065.6098125551,809658.3988651867,442.465413525,14,152.48187769201104,9,152.48187769201104,28.9493718365893,112.00930526315788,112.00930526315788,117.09944210526317,0.0,0.0,80.7175842748162,0
